"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)","?"
"(2010 RF12)","2095-2121","144","4.7e-2","5.10","28.4","0.007","-3.31","-3.32","0","bK10R12F"
"(2020 CD3)","2082-2118","115","2.5e-2","7.5","31.8","0.002","-5.20","-5.66","0","bK20C03D"
"(2017 WT28)","2083-2121","118","1.2e-2","4.47","28.1","0.008","-3.85","-3.87","0","bK17W28T"
"(2020 VW)","2074-2094","16","7.0e-3","9.69","28.3","0.007","-3.84","-4.13","0","bK20V00W"
"(2006 RH120)","2044-2119","146","6.1e-3","7.5","29.6","0.004","-4.47","-4.56","0","bK06RC0H"
"(2006 JY26)","2073-2122","115","5.0e-3","2.98","28.4","0.007","-4.17","-4.19","0","bK06J26Y"
"(2020 CQ1)","2070-2119","46","4.6e-3","4.90","28.8","0.006","-4.36","-4.37","0","bK20C01Q"
"(2022 EK4)","2057-2115","152","3.4e-3","7.98","26.4","0.018","-3.34","-3.59","0","bK22E04K"
"(2000 SG344)","2069-2121","330","2.8e-3","1.36","24.8","0.037","-2.79","-3.14","0","bK00SY4G"
"(2020 VV)","2044-2120","447","2.3e-3","2.58","27.3","0.012","-3.86","-4.35","0","bK20V00V"
"(2017 LD)","2053-2121","312","2.2e-3","4.49","27.5","0.011","-4.17","-4.73","0","bK17L00D"
"(2000 LG6)","2081-2122","111","2.1e-3","2.11","29.0","0.005","-5.01","-5.42","0","bK00L06G"
"(2012 HG2)","2052-2121","721","1.8e-3","3.32","27.0","0.014","-3.90","-4.35","0","bK12H02G"
"(2019 XV)","2053-2121","317","1.7e-3","1.33","29.2","0.005","-5.21","-5.93","0","bK19X00V"
"(2020 VN1)","2115-2115","1","1.7e-3","2.96","27.9","0.009","-4.68","-4.68","0","bK20V01N"
"(2015 YJ)","2042-2121","128","1.7e-3","16.35","28.3","0.007","-4.09","-4.32","0","bK15Y00J"
"(2018 NJ)","2083-2121","34","1.6e-3","5.85","27.8","0.009","-4.43","-4.44","0","bK18N00J"
"(2016 VB1)","2065-2121","191","1.4e-3","5.45","28.6","0.007","-4.90","-5.48","0","bK16V01B"
"(2011 AM37)","2048-2119","168","1.2e-3","3.65","29.7","0.004","-5.21","-5.33","0","bK11A37M"
"(2014 JR24)","2069-2121","81","1.2e-3","3.72","29.3","0.005","-5.21","-5.25","0","bK14J24R"
"(2011 BL45)","2050-2121","301","1.0e-3","1.68","27.1","0.013","-4.35","-4.56","0","bK11B45L"
"(2019 LW4)","2083-2117","36","1.0e-3","8.62","27.3","0.012","-4.28","-4.32","0","bK19L04W"
"(2021 XV)","2045-2071","34","8.2e-4","10.73","30.1","0.003","-5.24","-5.48","0","bK21X00V"
"(2021 RP2)","2050-2121","486","8.1e-4","4.45","30.2","0.003","-5.84","-6.35","0","bK21R02P"
"(2021 FM2)","2050-2083","13","8.0e-4","10.85","30.3","0.003","-5.64","-5.65","0","bK21F02M"
